Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:00.0000,70,0,0,-0,0
00:00:00.0000,70,0,0,-1.76254953601605e-32,-3.77741207011303e-33
00:00:00.0060,69.9999999999994,1.98764813105056e-07,5.8460239148546e-07,-3.38970911059304e-05,-7.26466378515926e-06
00:00:00.0121,69.9999999999977,6.23594169081662e-07,1.834100497299e-06,-5.98047285813058e-05,-2.00817295489493e-05
00:00:00.0182,69.9999999999946,1.11360923507026e-06,3.2753212796184e-06,-7.95830376057706e-05,-3.71375886903982e-05
00:00:00.0262,69.9999999999888,1.78489999598773e-06,5.24970587055216e-06,-0.000100209416538941,-6.37241036318583e-05
00:00:00.0396,69.9999999999748,2.70183418396711e-06,7.94657112931502e-06,-0.000122058006129001,-0.0001163414116199
00:00:00.0635,69.9999999999404,3.64777730920407e-06,1.07287567917767e-05,-0.000138934263927571,-0.000224581123441642
00:00:00.0874,69.999999999899,3.96391503518895e-06,1.16585736329087e-05,-0.000141379094385906,-0.000341652364206782
00:00:00.1113,69.9999999998546,4.08291896226655e-06,1.20085851831369e-05,-0.000139876774578073,-0.000460155538962186
00:00:00.1352,69.9999999998088,4.18193443610247e-06,1.22998071650073e-05,-0.000138032986117196,-0.000577558387929078
00:00:00.1756,69.9999999997287,4.36818623951827e-06,1.28476065868185e-05,-0.000135367032648344,-0.000773070250056757
00:00:00.2735,69.9999999995206,4.81088749468428e-06,1.41496691020126e-05,-0.000129242108764911,-0.00123077696867194
00:00:00.3735,69.999999999288,5.24000234815959e-06,1.54117716122341e-05,-0.000123228595803945,-0.00167671192546552
00:00:00.4735,69.9999999990361,5.64569723793625e-06,1.66049918762831e-05,-0.000117440184034264,-0.00210174617129358
00:00:00.5000,69.9999999989664,5.74944951770897e-06,1.69101456403205e-05,-0.000115952317832967,-0.00221071125273923
00:00:00.5730,69.9999999987672,6.02999380869329e-06,1.77352759079215e-05,-0.000111948014264055,-0.00250469708205596
00:00:00.6730,69.9999999984796,6.39882948414517e-06,1.8820086718074e-05,-0.000106693413038741,-0.00289085478174349
00:00:00.7730,69.9999999981753,6.75035741480625e-06,1.9853992396489e-05,-0.000101685330466736,-0.00325889261799759
00:00:00.8730,69.9999999978551,7.08533156614081e-06,2.08392104886494e-05,-9.69117610682972e-05,-0.00360964791138918
00:00:00.9730,69.9999999975197,7.40457499977097e-06,2.17781617640323e-05,-9.23623155559753e-05,-0.00394393382663006
00:00:01.0000,69.9999999974268,7.48798230561983e-06,2.20234773694701e-05,-9.11737455757801e-05,-0.00403126967971242
00:00:01.0000,69.9999999974265,7.48299346811012e-06,2.20088043179709e-05,-9.11016054957791e-05,-0.00403152563809599
00:00:01.0001,69.9999999974262,7.47014634528271e-06,2.19710186625962e-05,-9.09249517202702e-05,-0.00403183255711306
00:00:01.0002,69.9999999974259,7.45109347198597e-06,2.19149807999587e-05,-9.0666632002041e-05,-0.00403213860416669
00:00:01.0003,69.9999999974255,7.42796790699871e-06,2.18469644323492e-05,-9.03544489685542e-05,-0.00403244393175588
00:00:01.0005,69.9999999974249,7.37056302050836e-06,2.16781265309069e-05,-8.95823256047381e-05,-0.00403302574371578
00:00:01.0009,69.9999999974237,7.21361834756115e-06,2.12165245516504e-05,-8.74699728823991e-05,-0.00403416213590068
00:00:01.0013,69.9999999974224,6.98510453392467e-06,2.05444250997784e-05,-8.43692896932187e-05,-0.00403541086640751
00:00:01.0017,69.9999999974211,6.72300349066965e-06,1.97735396784401e-05,-8.07646746898979e-05,-0.00403661127248873
00:00:01.0021,69.9999999974198,6.44372368989614e-06,1.89521284996945e-05,-7.68602661932633e-05,-0.00403775740090091
00:00:01.0025,69.9999999974186,6.15811224879431e-06,1.8112094849395e-05,-7.27940075450266e-05,-0.00403884573462502
00:00:01.0029,69.9999999974174,5.87291890354967e-06,1.72732908927931e-05,-6.86544529442043e-05,-0.00403987447078505
00:00:01.0035,69.999999997416,5.50442044288431e-06,1.61894718908362e-05,-6.31796130277578e-05,-0.0040411391471888
